"登记ID","参考素材ID","实际文件名","实际文件路径","资产类别","映射生产资产ID","所属生产包","关联AI段落","映射场景视图ID或用途","文件版本","尺寸","字节数","SHA256","主创指定状态","连续性备注"
"QNXY-S3-AI03-REG-001","QNXY-REF-064","招募告示.png","D:\003-AI制作\002-制作项目\012-千年寻缘\图片\道具\招募告示.png","独立道具状态组合图／征募文书","QNXY-PRP-P0-005-征募文书","QNXY-PKG-08","AI-03","独立平整、贴墙、手持、攥皱四状态；苏珏从义士手中接取后持有并在廊亭段攥出折痕","V1.0","1672x941","2602483","5FE8A6490DA26EF2EAA10CF8E395922E513B26ED893D3CD824EEAA2CE7F89A41","已登记（主创指定为征募文书实际资产）","同一暖灰褐毛边粗纸、竖向墨书版式与右下小朱印；苏珏阅读近景不展示纸面内容；状态图中的手、蓝色袖口和人物身份不进入苏珏资产"
"QNXY-S3-AI03-REG-002","QNXY-REF-065","@发传单贴告示.png","D:\Ai影视制作\2026项目\002-2026项目\013-千年寻缘\图片\场景\@发传单贴告示.png","战乱街巷空间与历史调度组合图","QNXY-SCN-P1-006-南宋战乱街巷|QNXY-CRO-P1-001-逃难百姓群像|QNXY-CRO-P1-002-乡间义士与青壮集结群像|QNXY-PRP-P0-005-征募文书|QNXY-PRP-P2-010-逃难布包木箱组|QNXY-LGT-P1-007-战乱街巷阴天尘光","QNXY-PKG-08","AI-03","QNXY-SCN-P1-006-南宋战乱街巷-V-MASTER；只作同街巷结构与历史调度参考","V1.1","1672x941","2491656","FC7BE3D5F9E3127730BFB3E2E7661096283134AD1F7A3E198B740D8163E04C94","已登记（与原REF-065哈希相同并更新现存路径）","新版不再执行发文书、原接收者和原地集结动作；只继承坡道街巷、左侧布告墙、木构民居、远处山城与人流分区"
"QNXY-S3-AI03-REG-003","QNXY-REF-066","临水古廊亭03.png","D:\003-AI制作\002-制作项目\012-千年寻缘\图片\场景\临水古廊亭03.png","临水古廊亭外部湖面氛围视图","QNXY-SCN-P0-007-南宋临水古廊亭|QNXY-LGT-P0-008-临水廊亭傍晚侧逆光|QNXY-PRP-P2-009-廊亭灯笼","QNXY-PKG-08","AI-03","QNXY-SCN-P0-007-南宋临水古廊亭-V-MASTER的进入或离开氛围补充；不新增视图ID","V1.0","3840x2160","7173597","624552FBE5244E2130CE1192F19FF22A7E7AF4562ABB78580BBE0E4F5D9253A8","已登记（主创指定为廊亭进出湖面氛围场景）","只承担廊亭局部、树影、湖面、雾山、远舟与白鹭氛围；局部只见1盏灯笼不覆盖全场四盏灯笼锁定；不承担廊道连接和双人对白站位"
"QNXY-S3-AI03-REG-004","QNXY-REF-067","巴蜀山城防线.png","D:\003-AI制作\002-制作项目\012-千年寻缘\图片\场景\其它场景\巴蜀山城防线.png","南宋巴蜀山城防线远景","QNXY-SCN-P1-004-南宋山城防线远景|QNXY-LGT-P1-005-山城江雾烽烟光影|QNXY-CRO-P2-004-山城防线远处人影|QNXY-SYM-P2-003-南宋防线军旗体系|QNXY-VFX-P1-004-战乱烽烟尘土与风压","QNXY-PKG-08","AI-03","QNXY-SCN-P1-004-南宋山城防线远景-V-MASTER；AI-03防线承压开场","V1.0","1672x941","1941239","528A69B8780EAB42332723DC10F7985C3C50C2F58893FCC552BE53108147203C","已登记（主创确认防线远景）","保持峡谷、山脊石墙、关楼、军旗、远雾与烽烟关系；只表现远处奔走人影，不进入近身厮杀"
"QNXY-S3-AI03-REG-005","QNXY-REF-068","廊亭苏珏.png","D:\Ai影视制作\2026项目\002-2026项目\013-千年寻缘\图片\人物\廊亭苏珏.png","人物锁定图／苏珏外出常服","QNXY-CHR-P0-001-苏珏|QNXY-CST-P0-003-苏珏外出常服B","QNXY-PKG-08","AI-03","街巷读墙上告示与触摸纸面的干燥人物状态；进入雨中后切换REF-083","V1.1","1672x941","2601013","93BD6543D7FD00D75CBA6BF255C6B04E0BAB8754C7C7845EF24E70861419F9E0","已登记（原哈希不变并更新现存路径）","参考图为同一人物的多视图；保持同一年轻演员脸、真实骨相、半束长发、蓝灰外出常服和185厘米生产尺度"
"QNXY-S3-AI03-REG-006","QNXY-REF-069","告别林如蔚.png","D:\Ai影视制作\2026项目\002-2026项目\013-千年寻缘\图片\人物\告别林如蔚.png","人物锁定图／林如蔚廊亭告别常服","QNXY-CHR-P0-002-林如蔚|QNXY-CST-P0-004-林如蔚廊亭告别常服B","QNXY-PKG-08","AI-03","背湖等待、悲凉转身、靠近、抓住苏珏左袖、拥抱和单滴泪面部近景的同一人物与服装锚点","V1.1","1672x941","2188739","4451508B34E45FA665384E13FC0BBB790A62A9787D0351F270B6AB2C11081D83","已登记（原哈希不变并更新现存路径）","参考图为同一人物的多视图；保持同一年轻演员脸、真实骨相、盘发、浅青蓝常服、珍珠项链和170厘米生产尺度；从第一眼开始不微笑；本场没有冷珠与暖珠"
"QNXY-S3-AI03-REG-007","QNXY-REF-070","亭子正视图.png","D:\003-AI制作\002-制作项目\012-千年寻缘\图片\场景\亭子正视图.png","临水古廊亭正向视图","QNXY-SCN-P0-007-南宋临水古廊亭|QNXY-LGT-P0-008-临水廊亭傍晚侧逆光|QNXY-PRP-P2-009-廊亭灯笼","QNXY-PKG-08","AI-03","QNXY-SCN-P0-007-南宋临水古廊亭-V-FRONT；入口看向湖面、女主栏边等待与最终双人背向凭栏","V1.0","1672x941","2362912","8CFC39959D71F3F9F75D531733C4EF80B6E1C89033E86C2A9C6F4EA4F30F8437","已登记（主创确认同一廊亭正视图）","保持正中石路入口、四盏灯笼、临湖栏杆、湖面、层山与远舟关系；用于正向建立和人物背向湖面站位"
"QNXY-S3-AI03-REG-008","QNXY-REF-071","正左侧视图亭子.png","D:\003-AI制作\002-制作项目\012-千年寻缘\图片\场景\正左侧视图亭子.png","临水古廊亭正左侧视图","QNXY-SCN-P0-007-南宋临水古廊亭|QNXY-LGT-P0-008-临水廊亭傍晚侧逆光|QNXY-PRP-P2-009-廊亭灯笼","QNXY-PKG-08","AI-03","QNXY-SCN-P0-007-南宋临水古廊亭-V-LEFT；苏珏入亭、人物间距与双人侧向对白","V1.0","1672x941","2391989","32F0393749E066D124BDE7DD404CA7BD7AE3FF8A6CD76EFDE6A595351C2C9DF9","已登记（主创确认同一廊亭左侧视图）","保持同一亭顶、四盏灯笼、左侧岸路、临湖栏杆、湖面与远山；主要承担人物横向关系和对白轴线"
"QNXY-S3-AI03-REG-009","QNXY-REF-072","正背视图亭子.png","D:\003-AI制作\002-制作项目\012-千年寻缘\图片\场景\正背视图亭子.png","临水古廊亭正背视图","QNXY-SCN-P0-007-南宋临水古廊亭|QNXY-LGT-P0-008-临水廊亭傍晚侧逆光|QNXY-PRP-P2-009-廊亭灯笼","QNXY-PKG-08","AI-03","QNXY-SCN-P0-007-南宋临水古廊亭-V-BACK；从湖侧经廊亭望向林间石路的进亭连接视图","V1.0","8192x4626","26816138","5AB444524EF3A8E927163B99AF9A3EC290C021CF58801D5F48ED0108E3AAC546","已登记（主创确认同一廊亭正背视图）","保持林间石路从画面中心通入廊亭、四盏灯笼、后侧栏杆和石基关系；用于苏珏沿廊道进入，不能改变进亭方向"
"QNXY-S3-AI03-REG-010","QNXY-REF-076","逃难人群与军士.png","D:\Ai影视制作\2026项目\002-2026项目\013-千年寻缘\图片\场景\逃难人群与军士.png","战乱街巷军民逆向运动全景","QNXY-SCN-P1-006-南宋战乱街巷|QNXY-CRO-P1-001-逃难百姓群像|QNXY-PRP-P2-010-逃难布包木箱组|QNXY-LGT-P1-007-战乱街巷阴天尘光","QNXY-PKG-08","AI-03","QNXY-SCN-P1-006-南宋战乱街巷-V-STREET-DEPTH军民逆向状态","V1.0","1672x941","2736595","FF9EC97E66817D0FA124EC15BEE0E152F4CD1E790C95B244A3440D8BB3AFC110","已登记（主创指定为军民逆向运动实际资产）","左侧六名军士朝前线奔跑；右侧逃难百姓反向上行并避让；动作方向和人数不得漂移"
