"镜号","时间码与时长","景别与机位","摄影机运动","画面与动作","表演与节奏","构图与光影","资产与视图调用","环境与动作声","连续性与生成归组"
"AI02-SH01","00:00.000—00:03.520｜3.52s","大远景｜略高机位观察龙水湖","极慢前推，近似静镜","薄雾覆盖层山与岛群，细碎金光落在湖面；局部白鹭从树冠掠向水面","无人物表演；让观众先进入清晨环境","山岛湖近中远三层；暖光只落局部","REF-051|REF-052|QNXY-SCN-P0-005|QNXY-ANM-P1-001|QNXY-LGT-P0-006","湖风|远水|零散白鹭声","白鹭不固定数量、不整齐列队｜G01"
"AI02-SH02","00:03.520—00:07.000｜3.48s","中全景｜院内药草桌侧前方","轻微横移后停住","林如蔚坐在药草桌旁，将晒干药草分束、理齐并放入竹匾","动作熟练安静；不看湖，不预先等待","药桌居中偏左；院门和湖面出口保留画面右侧","REF-047|REF-059|REF-062|QNXY-CHR-P0-002|QNXY-CST-P0-002|QNXY-PRP-P1-004|V-EXIT-COURTYARD","药草与竹匾摩擦|院内微风","冷珠颈戴可由交领长辫自然遮挡但不得删除｜G01"
"AI02-SH03","00:07.000—00:10.000｜3.00s","远景｜岸边长焦看向湖心","静镜，小舟自行进入景深","小舟仍在远湖；苏珏站船头持蓝色包袱，年长船工在船尾操桨","苏珏随船轻微调整重心，视线朝岸；不挥手","长焦压缩雾中岛影；船体保持小比例","REF-048|REF-058|REF-063|QNXY-CHR-P0-001|QNXY-CST-P0-001|QNXY-VEH-P0-001|QNXY-CRO-P1-003|QNXY-PRP-P2-008","远桨划水|低弱船板木响","苏珏不得坐船舱；包袱不出现卷轴｜G01"
"AI02-SH04","00:10.000—00:12.520｜2.52s","近景｜药草桌手部高度","固定机位","林如蔚双手整理药草；远处桨声进入后手指动作停住","先听见、后反应；不立刻猛抬头","药草束、竹匾与袖口占主要画面；细碎斑驳暖光","REF-047|REF-062|QNXY-PRP-P1-004|QNXY-LGT-P0-006","药草声渐停|远桨声变清楚","手部与药草位置承接SH02｜G02"
"AI02-SH05","00:12.520—00:15.520｜3.00s","中近景｜女主三分之四侧面","极轻微推近","她侧耳辨认，抬眼望向湖面出口，眼神先亮，随后起身","反应是听出熟悉的人；笑意克制自然","主屋与大树虚化；目光固定指向右侧院门","REF-047|REF-062|QNXY-CHR-P0-002|QNXY-CST-P0-002","远桨与水声|木凳轻响|衣料声","起身只完成一次；冷珠颈戴或自然遮挡｜G02"
"AI02-SH06","00:15.520—00:18.520｜3.00s","全景｜院内侧后方看向栅栏门","小幅跟移","林如蔚从药桌离开，向右侧院门快步小跑两三步","轻快但不夸张奔跑；长裙有真实重量","固定药桌—大树—主屋—院门—湖面出口关系；人物由左向右","REF-047|REF-059|REF-061|V-EXIT-COURTYARD|V-SHORE-TO-LAKE","土地脚步|裙摆与腰饰轻响|远桨","桌树门方向不变；人物不穿栅栏｜G02"
"AI02-SH07","00:18.520—00:21.520｜3.00s","过肩中远景｜女主背侧看湖","静镜","林如蔚到达栅栏门，看见仍在湖中的小舟后抬手挥动","先确认再挥手；笑意明亮不过度","女主近景一侧，远湖小舟为视觉终点；门框自然框景","REF-047|REF-060|REF-056|QNXY-CHR-P0-002|QNXY-CST-P0-002|V-SHORE-TO-LAKE","开阔湖风|远桨水声|袖料轻响","小舟不得已靠岸；目光连接船头｜G03"
"AI02-SH08","00:21.520—00:24.000｜2.48s","长焦中景｜岸边看船头","轻微随船漂移","苏珏站船头看见她，一手持包，空手抬起回应；船工继续操桨","笑意从眼神到唇边；小幅挥手并保持平衡","苏珏为主，船工后景不抢戏；雾湖背景简洁","REF-048|REF-058|REF-063|QNXY-CHR-P0-001|QNXY-CST-P0-001|QNXY-VEH-P0-001|QNXY-CRO-P1-003|QNXY-PRP-P2-008","桨水声|船板声|衣袖声","暂定右手持包左手挥手；暖珠左腕袖遮；不得换手｜G03"
"AI02-SH09","00:24.000—00:27.000｜3.00s","岸边大远景｜湖心至停靠点主轴","缓慢后退或静镜","小舟由画面深处向固定停靠点接近；林如蔚在院门或石路上方等待","双方停止持续挥手，保持目光联系","船沿纵深轴移动；不横向穿越不同岸线","REF-056|REF-058|REF-060|QNXY-SCN-P0-005|QNXY-VEH-P0-001|QNXY-LGT-P0-006","桨声变近|船头破水|小浪声","停靠点固定REF-056；不得跨轴或瞬移｜G04"
"AI02-SH10","00:27.000—00:29.520｜2.52s","岸边中景｜低于人物胸线","固定机位","船工减桨并用长桨轻撑稳船；小舟靠近青石边后轻晃一次并停稳","苏珏等待船体稳定，不抢先下船","船帮、青石、水线构成横向稳定结构","REF-056|REF-058|QNXY-VEH-P0-001|QNXY-CRO-P1-003","木桨收水|船板轻响|水拍青石","船只只晃一次，不弹跳、不穿岸｜G04"
"AI02-SH11","00:29.520—00:32.520｜3.00s","侧面中全景｜青石岸与船头同框","轻微跟随人物重心","船工稳船；苏珏右手持包、左手保持平衡，左脚先踏青石，右脚跟上完成下船","稳妥下船，不英雄式跃岸；落脚后先站稳","岸石、船头、人物全身关系清楚；保留185厘米比例","REF-048|REF-056|REF-058|REF-063|QNXY-CHR-P0-001|QNXY-CST-P0-001|QNXY-VEH-P0-001|QNXY-PRP-P2-008","船板受力|鞋底踏石|包袱布料|轻呼吸","高风险单动作；不同时挥手递包；暖珠左腕袖遮｜G05"
"AI02-SH12","00:32.520—00:35.520｜3.00s","中远景｜院门朝湖岸石路","缓慢后移引导男主上行","苏珏沿石路走向院门，林如蔚在门口等他；靠近后停在彼此面前","她向前半步，他放松肩背；不拥抱、不行礼","15厘米身高差真实；门、石路、湖面轴线明确","REF-047|REF-048|REF-060|REF-061|REF-063|QNXY-CHR-P0-001|QNXY-CHR-P0-002|QNXY-CST-P0-001|QNXY-CST-P0-002|QNXY-PRP-P2-008","石路脚步|衣摆|近处呼吸|远水","男主仍右手持包；女主未提前拿包｜G06"
"AI02-SH13","00:35.520—00:39.000｜3.48s","双人中景｜院门内侧略侧拍","固定机位，结尾微推","苏珏右手递出蓝色包袱；林如蔚双手接稳，随后安置到左前臂与身体之间","动作缓稳、有生活默契；短暂对视","包袱位于两人之间；手部无遮挡","REF-047|REF-048|REF-060|REF-061|REF-063|QNXY-PRP-P2-008|QNXY-REL-P1-008","粗布摩擦|手掌接触布面轻声","高风险单动作；包袱不变形消失换色；镜尾女主左臂持包｜G07"
"AI02-SH14","00:39.000—00:43.000｜4.00s","双人中近景｜肩胸以上","极慢推近，最后停住","包袱已稳在林如蔚左臂；她用右侧衣袖轻擦苏珏额角；苏珏微低头配合，二人相视一笑并停半拍","亲昵来自习惯，不煽情；擦汗只完成一次","暖调斑驳光落脸侧与袖缘；背景院门湖面柔化；真实肤质","REF-047|REF-048|REF-060|REF-061|REF-063|QNXY-CHR-P0-001|QNXY-CHR-P0-002|QNXY-CST-P0-001|QNXY-CST-P0-002|QNXY-PRP-P2-008|QNXY-REL-P1-008|QNXY-LGT-P0-006","袖料轻擦|近处呼吸|远水与船板余响","高风险单动作；右袖不穿脸；包袱留女主左臂；冷珠不得消失｜G08"
