生产资产ID,资产类型,资产名称,资产级别,剧本出处,关联场次或段落,基础描述,补全设计信息,状态变体,材质结构或声音特点,光影或环境要求,使用或生成需求,可复用范围,信息来源,确认状态,阶段2处理建议
QNXY-CHR-P0-001-苏珏,CHR,苏珏,P0,V4标黄P013、P032、P034、P054、P056-P061、P080-P088,AI-01至AI-04,南宋青年男主；同一演员贯穿书生、归家、决意从军与披甲离别,真人男演员参考组QNXY-REF-011与014继续作为身份来源；阶段3 AI-02主创指定实际人物锁定图QNXY-REF-048；生产身高185厘米；不继承陌生脸和现代背景,常服A、外出常服、披甲状态,真实肤质；同一骨相与发际线气质,南宋巴蜀环境自然受光,AI-02直接调用REF-048的人物正侧背与归家状态；其余段落继续保持同一演员身份和185厘米生产尺度,AI-01至AI-04,剧本明确;项目锁定;用户授权演员参考;主创2026-07-26指定AI-02锁定图,已锁定；AI-02实际锁定图已登记,REF-048登记不等于真实肤质、全身尺度和跨场同脸已完成机器验证；阶段3逐镜继续约束
QNXY-CHR-P0-002-林如蔚,CHR,林如蔚,P0,V4标黄P013、P033-P036、P056-P061、P080-P088、P097-P104,AI-01至AI-05,南宋年轻女主；小院操持、归家相会、告别、追船与终身等待,真人女演员参考组QNXY-REF-001至003继续作为身份来源；阶段3 AI-02主创指定实际人物锁定图QNXY-REF-047；生产身高170厘米；年轻至暮年保持同一骨相,多季服装与自然老化状态,真实肤质；年轻明亮而不甜腻；情绪克制,湖岸与小院自然侧光；暮年真实皱纹,AI-02直接调用REF-047的人物正侧背、小院常服与长辫状态；其余段落继续保持同一演员身份、170厘米生产尺度和年龄连续性,AI-01至AI-05,剧本明确;项目锁定;用户授权演员参考;主创2026-07-26指定AI-02锁定图,已锁定；AI-02实际锁定图已登记,REF-047未清楚显示冷珠颈戴；不得据此取消冷珠；真实肤质、身高尺度与跨季同脸继续在阶段3逐镜约束
QNXY-CHR-P1-003-王后抱襁褓太子侧影,CHR,王后抱襁褓太子侧影,P1,V4标黄P011,AI-01,殿宇帷幔后短暂出现的王后抱子侧影；不露脸不展开宫殿戏,只补足庄重抱子轮廓、袖缘和襁褓比例；具体历史身份造型不在V4中确认,单一水光侧影状态,侧影轮廓与柔软衣袖；襁褓只见体块,冷蓝与金红水光勾边,生成遮挡式侧影组合资产,仅AI-01,剧本明确;历史参考候选;创作者建议,建议采用,阶段2随AI-01神话测试制作；不得生成正脸或婴儿细节
QNXY-CST-P0-001-苏珏湖岸常服A,CST,苏珏湖岸常服A,P0,V4标黄P032、P034-P036,AI-02,阶段3 AI-02按QNXY-REF-048锁定为白色低饱和纹样长袍、灰白交领与青蓝腰带；湖上站在船头、挥手、下船和步行回院,QNXY-REF-048为本段最新实际服装锚点；苏珏脸保持CHR-001同一演员身份；REF-007保留历史服饰参考但不再覆盖本段最新实际锁定,归家常服单一状态；蓝色布包作为PRP-P2-008调用；图中卷轴与浅色坠饰未获本次动作确认,天然纤维受清晨湿润侧光；衣摆和袖口动作须适配船头站立、挥手、下船和递包,正侧背、船头站立持包、挥手、跨船帮下船和院门递包均用逐镜Prompt适配；不要求预制动作关键帧,AI-02,剧本明确;用户2026-07-26指定实际锁定图和全Prompt动作控制,已锁定；AI-02以REF-048为准,不得把卷轴与浅色坠饰自动写入本段；保持185厘米生产尺度和真实肤质
QNXY-CST-P0-002-林如蔚湖岸常服A,CST,林如蔚湖岸常服A,P0,V4标黄P033-P036、P099,AI-02;AI-05春,阶段3 AI-02按QNXY-REF-047锁定为杏粉短外层、米白交领与长袖内层、米白长裙、长辫及腰间葫芦铃铛；用于小院整理药草、跑到院门、挥手、接蓝包与抬袖擦汗,AI-02以REF-047为最新实际服装锚点；AI-05春仍保留REF-004/006的既有季节参考；人物脸保持CHR-002同一演员身份,AI-02归家相会状态；AI-05春季状态另行调用,天然纤维受清晨侧光；擦汗动作时袖口不得穿透脸部；冷珠颈戴未在REF-047中清楚显示,正侧背、跑动、挥手、接包和抬袖擦汗动作适配资产,AI-02;AI-05春,剧本明确;用户2026-07-26指定AI-02实际锁定图,已锁定；AI-02以REF-047为准,冷珠不得据图消失；保持170厘米生产尺度、真实肤质和同演员身份
QNXY-CST-P0-003-苏珏外出常服B,CST,苏珏外出常服B,P0,V4标黄P054-P061,AI-03,苏珏决定从军时换上的外出常服；手持并攥紧文书,V4未写颜色；QNXY-REF-008的服装发型斜背负重带坠饰及配饰默认整体继承；唯一禁止继承项为参考人物脸部身份；苏珏脸只取REF-014/011,干燥；文书造成手部褶皱互动,服饰参考整体结构与配饰；不提前披甲,傍晚廊柱阴影与湖面反光,正侧背、快走、握文书和凭栏适配资产,AI-03,剧本明确;用户服饰参考;2026-07-15主创边界修正,已锁定,阶段2A按REF-008整体服饰边界制作并与常服A区分
QNXY-CST-P0-004-林如蔚廊亭告别常服B,CST,林如蔚廊亭告别常服B,P0,V4标黄P056-P061、P101,AI-03;AI-05秋,廊亭告别时更沉静的常服；秋季明确穿回此套,QNXY-REF-005的服装发型及配饰默认整体继承；QNXY-REF-006仍只取限定三格并整体继承服饰发型配饰；唯一禁止继承项为参考人物脸部身份,AI-03基础状态；AI-05秋叠薄披,服饰参考整体结构与配饰,傍晚廊柱阴影；秋季低角度斜光,正侧背、栏杆站姿与转身适配资产,AI-03;AI-05秋,剧本明确;用户服饰参考;2026-07-15主创边界修正,已锁定,阶段2A按REF-005/006整体服饰边界制作并保持林如蔚演员脸
QNXY-CST-P0-005-苏珏从军披甲装,CST,苏珏从军披甲装,P0,V4标黄P013、P080-P088,AI-01;AI-04,南宋青年从军衣甲；甲片压住衣襟；腰侧垂行囊；暖珠固定在前胸偏左甲绦硬点,QNXY-REF-009与010的服装发型及穿戴配饰默认整体继承；唯一禁止继承项为参考人物脸部身份；再组合2026-07-15已确认的深蓝灰窄袖内层＋灰褐简洁护片/札片克制轻甲和暖珠硬点,扣甲带预告状态；桥上完整披甲状态；暖珠系挂状态,参考服饰整体结构配饰与克制轻甲外层,雾色侧逆光与黄昏湖面反光,正侧背、扣甲带、系珠、登船和回望适配资产,AI-01;AI-04,剧本明确;项目锁定;用户服饰参考;2026-07-15主创边界修正,已锁定,阶段2A按REF-009/010整体服饰边界组合已确认轻甲并测试稳定与暖珠固定位置
QNXY-CST-P1-006-林如蔚石桥离别与湿裙追船状态,CST,林如蔚石桥离别与湿裙追船状态,P1,V4标黄P080-P088,AI-04,石桥离别服装及追船后的裙角湿水、鬓发被风吹乱状态；冷珠手链交换后戴腕,V4未明确其基础服装是否沿用常服B；建议沿用廊亭告别常服B以维持时间连续；腕侧待2A一次锁定,干燥离别状态→冷珠手链戴腕→湖水打湿裙角→鬓发散乱泪痕状态,天然纤维吸水后加深并下坠；鞋履适合碎石奔跑；手链随手腕运动不穿模,黄昏逆光与湖面反光；水线真实,生成干燥与湿裙两个状态资产并验证冷珠腕戴,AI-04,剧本明确;合理推断;历史参考候选;主创修正,已锁定,已确认沿用常服B；冷珠腕戴可进入阶段2A细化
QNXY-CST-P1-007-林如蔚春季等待状态,CST,林如蔚春季等待状态,P1,V4标黄P099,AI-05春,沿用湖岸相候浅色常服；发侧加素色丝带；站立等待；冷珠手链戴腕,不得把丝带误作夸张仙侠飘带；袖口需适配冷珠手链露出与活动,春季完整干燥状态；冷珠腕戴,常服A天然纤维；素色软丝带受风；细编绳手链,春日柔侧光、白鹭、嫩柳,生成同机位春季人物状态与腕戴连续性,AI-05春,剧本明确;项目锁定;主创修正,已锁定,阶段2与常服A共用脸和基础结构并锁定腕侧
QNXY-CST-P1-008-林如蔚夏季等待状态,CST,林如蔚夏季等待状态,P1,V4标黄P100,AI-05夏,湖岸常服的轻薄夏日变体；外层更少；树下坐姿；冷珠手链戴腕,保持南宋朴素结构并满足坐姿褶皱、手臂活动与腕部接触,夏季轻薄干燥状态；冷珠腕戴,透气天然织物；袖摆受湿润湖风；细编绳手链,夏季树荫斑驳光与明亮湖面,生成坐姿全身、同机位状态与腕戴连续性,AI-05夏,剧本明确;项目锁定;主创修正,已锁定,阶段2不得把夏季恢复为站姿或把冷珠改为掌心握持
QNXY-CST-P1-009-林如蔚秋季等待状态,CST,林如蔚秋季等待状态,P1,V4标黄P101,AI-05秋,廊亭告别常服B外加薄披；发饰仅留素簪；重新系紧红绸；冷珠手链戴腕,薄披结构、素簪形制、重新系绸抬手活动量和手链受力需适配,常服B＋薄披＋素簪；红绸接触状态；冷珠腕戴,天然纤维薄披；草色转黄与寒波；细编绳手链,秋季低角度斜光,生成站姿、抬手系绸和腕戴连续性状态,AI-05秋,剧本明确;项目锁定;主创修正,已锁定,阶段2与常服B先后依赖并保持腕侧一致
QNXY-CST-P1-010-林如蔚冬季等待状态,CST,林如蔚冬季等待状态,P1,V4标黄P102,AI-05冬,灰白冬装外氅；鬓边发丝被雪沾湿；肩头薄雪；站在同一位置；冷珠手链戴腕,建议内层朴素保暖、外氅不做现代羽绒形态；袖口需避免遮没或穿透手链,干燥基础→肩头薄雪和湿发状态；冷珠腕戴,厚实天然织物；外氅有真实重量；细编绳手链,冬季冷漫反射、冷雾、轻微呼吸白气,生成基础冬装、落雪状态与袖口腕戴适配,AI-05冬,剧本明确;项目锁定;主创修正,已锁定,阶段2与冬季VFX和腕戴可见性联测
QNXY-CST-P0-011-林如蔚暮年自然老化与素净衣装,CST,林如蔚暮年自然老化与素净衣装,P0,V4标黄P103-P104,AI-05多年后,同一林如蔚自然老化；白发木簪；素净衣色；冷珠手链仍戴腕望湖,年龄幅度V4未给具体岁数；建议以可辨认同一骨相为首要；不恐怖老化不换脸；同一手链仅允许自然轻微磨痕,暮年自然皱纹、手腕与手背纹理、白发木簪、素净衣装和冷珠腕戴,真实老年皮肤、不夸张体态与细编绳手链,多年后冷静湖光与背侧光,生成脸部老化验证、全身与老年手腕佩戴状态,AI-05多年后,剧本明确;项目锁定;合理推断;主创修正,已锁定,按已确认自然老化、素净衣装和冷珠终身腕戴方向进入阶段2A
QNXY-CST-P2-012-王后抱子侧影服饰状态,CST,王后抱子侧影服饰状态,P2,V4标黄P011,AI-01,只服务侧影识别的王后衣袖与襁褓轮廓,不展开历史复原；不出现冠服正面细节,单一侧影状态,柔软长袖与襁褓布,冷暖水光勾边,与CHR-003合并轻量制作,仅AI-01,剧本明确;创作者建议,建议采用,随王后侧影组合资产制作
QNXY-VOI-P0-001-苏珏基础音色,VOI,苏珏基础音色,P0,V4标黄P014、P057、P083-P085,AI-01至AI-04,青年男性稳定音色；承担画外独白、画内对白与归家段呼吸情绪,QNXY-REF-050为2026-07-26主创提供的实际参考音；中低音域、温润克制、书生气不过柔；从归家轻松到哽咽欲止与离别坚定仍为同一声线,音色参考、画外独白、低声哽咽对白、沉稳离别对白,真实人声；吐字清楚；不过度播音腔,无音乐；环境同期声另分层,REF-050只作音色与情绪参考；正式台词另按原词制作,全项目苏珏古代线,剧本明确;创作者建议;用户2026-07-26提供参考音,已锁定；参考音已登记,REF-050不是AI-02正式对白成品；环境与动作声继续独立调用
QNXY-VOI-P0-002-林如蔚基础音色,VOI,林如蔚基础音色,P0,V4标黄P035、P053、P055、P060、P082-P083、P104,AI-02至AI-05,青年女性稳定音色；承担画外讲述与画内对白,QNXY-REF-049为2026-07-26主创提供的实际参考音；中音域、温润清澈、克制笃定；画外讲述不导游播报；对白不甜腻,画外叙述、温柔笃定对白、离别含泪但不哭腔,真实人声；吐字清楚；与苏珏中低音域区分,无音乐；环境同期声另分层,REF-049只作音色与表达参考；正式画外音和对白另按原词制作,全项目林如蔚古代线,剧本明确;创作者建议;用户2026-07-26提供参考音,已锁定；参考音已登记,文件名“林如薇”不改变项目角色名“林如蔚”；不是正式台词成品
QNXY-VOI-P0-003-苏珏AI01画外独白,VOI,苏珏AI01画外独白,P0,V4标黄P014,AI-01,原词：冷暖双珠由九龙灵气凝结，双珠相合，护佑湖山安宁。可乱世一来，山河动荡，双珠离散，传说也从此变成一场没有讲完的梦。,沿用苏珏基础音色；神话讲述克制低缓；不得改字改序,画外独白性能样本,干净人声并预留山风水声层,不绑定画面人物口型,完整原词音频单元,AI-01,剧本明确;项目锁定,已锁定,阶段2声音Prompt与后续视频同步生产
QNXY-VOI-P0-004-林如蔚AI02画外音,VOI,林如蔚AI02画外音,P0,V4标黄P035,AI-02,原词：距今大约七百多年前，有一对年轻眷侣生活在这片湖边。那时的龙水湖依山傍水，百岛卧波，白鹭常来。他读书识字，常乘小舟往来湖岸；她操持日常，在岸边等他归来。,沿用林如蔚基础音色；QNXY-REF-049作为音色与表达参考；温柔叙事；不得改字改序,画外音性能样本与正式原词成品两级状态,干净人声并预留晨湖与小院环境声,不绑定画面人物口型,完整原词音频单元；REF-049本身仅约5秒不等于完整原词成品,AI-02,剧本明确;项目锁定;用户2026-07-26提供参考音,已锁定；音色参考已登记,如本段保留原画外音仍需制作完整原词正式表演版本
QNXY-VOI-P0-005-林如蔚AI03战乱画外音,VOI,林如蔚AI03战乱画外音,P0,V4标黄P053,AI-03,原词：战火蔓延，前线告急，钓鱼城防线承压，百姓四散逃难。本地义士自发奔走，号召青壮参军，守卫家园，驰援钓鱼城防线。,沿用林如蔚基础音色；叙事紧迫但不喊；不得改字改序,画外音性能样本,干净人声并预留战鼓人群层,不绑定画面人物口型,完整原词音频单元,AI-03战乱段,剧本明确;项目锁定,已锁定,阶段2声音Prompt与后续视频同步生产
QNXY-VOI-P0-006-林如蔚AI03决意画外音,VOI,林如蔚AI03决意画外音,P0,V4标黄P055,AI-03,原词：故事里的那个年轻人，也下定决心，奔赴前线。,沿用林如蔚基础音色；从外部战乱收束到人物决意；不得改字改序,画外音性能样本,干净人声并预留廊道脚步层,不绑定画面人物口型,完整原词音频单元,AI-03转场,剧本明确;项目锁定,已锁定,阶段2声音Prompt与后续视频同步生产
QNXY-VOI-P0-007-林如蔚AI04离别画外音,VOI,林如蔚AI04离别画外音,P0,V4标黄P082,AI-04,原词：离别将至，那时的他们，没有厚重的信物，只以两枚贴身珠玉相赠，以此寄托。,沿用林如蔚基础音色；克制含情；不得改字改序,画外音性能样本,干净人声并预留湖风玉石声,不绑定画面人物口型,完整原词音频单元,AI-04,剧本明确;项目锁定,已锁定,阶段2声音Prompt与后续视频同步生产
QNXY-VOI-P0-008-林如蔚AI05四季画外音,VOI,林如蔚AI05四季画外音,P0,V4标黄P104,AI-05,原词：爱人远赴战场之后，她便守在湖边，日日祈愿他平安归来。春有白鹭掠水，夏有荷香入风，秋有寒波照影，冬有落雪覆岸。四季更迭，岁月流转，她始终守着那颗冷珠，等一个未归的人。,沿用林如蔚基础音色；跨度悠长但不衰老播音；不得改字改序,画外音性能样本,干净人声并预留四季环境声切换,不绑定画面人物口型,完整原词音频单元,AI-05,剧本明确;项目锁定,已锁定,阶段2声音Prompt与后续视频同步生产
QNXY-VOI-P0-009-苏珏AI03廊亭对白,VOI,苏珏AI03廊亭对白,P0,V4标黄P057-P058,AI-03,原词：如今外敌入侵，人间疾苦，我……,低声哽咽、欲言又止；说到我后停住；不得补写后半句,画内对白性能样本,同期湖风、纸张与呼吸；无音乐,必须绑定苏珏准确口型；不升格,完整原词对白单元,AI-03,剧本明确;项目锁定,已锁定,阶段2声音性能样本与阶段3口型约束
QNXY-VOI-P0-010-林如蔚AI03廊亭对白,VOI,林如蔚AI03廊亭对白,P0,V4标黄P060,AI-03,原词：我都懂。家国危难，你不必为难。你只管奔赴前路，我会在这里等你归来。,温柔笃定、满眼通透；完整顺序；不得拆字改词,画内对白性能样本,同期湖风与灯笼轻响；无音乐,绑定林如蔚准确口型；可多镜承载但原词连续,完整原词对白单元,AI-03,剧本明确;项目锁定,已锁定,阶段2声音性能样本与阶段3口型约束
QNXY-VOI-P0-011-林如蔚AI04石桥对白,VOI,林如蔚AI04石桥对白,P0,V4标黄P083,AI-04,原词：宝珠换作念想，我就守着这片湖山，日日祈愿，盼你平安归来。,克制不舍但站姿坚定；必须先于触手动作和苏珏台词,画内对白性能样本,同期湖风与玉石细声；无音乐,绑定林如蔚准确口型；不升格,完整原词对白单元,AI-04,剧本明确;项目锁定,已锁定,阶段2声音性能样本；REL-011锁定顺序
QNXY-VOI-P0-012-苏珏AI04石桥对白,VOI,苏珏AI04石桥对白,P0,V4标黄P085,AI-04,原词：战事凶险，倘若此生无缘再见，便以双珠为契，来世再续前缘。,低稳压住不舍；必须在停顿触手动作之后；不得提前,画内对白性能样本,同期湖风、甲片与呼吸；无音乐,绑定苏珏准确口型；不升格,完整原词对白单元,AI-04,剧本明确;项目锁定,已锁定,阶段2声音性能样本；REL-011锁定顺序
QNXY-SCN-P0-001-巴岳山麓龙水湖神话山湖,SCN,巴岳山麓龙水湖神话山湖,P0,V4标黄P009-P015,AI-01,巴岳山脉、龙水湖、4组岛体、5层远山、3条雾带、9条神龙与2颗古玉珠构成的神话起源主空间,REF-016至018锁定地形地貌；REF-025与026锁定影调；docs/29 V2.0锁定65mm机位与34%主山32%湖盆24%天空云雾10%前景,基础神话晨光状态,山岩、水体、云雾、草叶、9条东方神龙与2颗古玉珠,暗部40%|淡金反射8%|神龙前层1条中层3条远层5条|0条龙入水,使用docs/29 V2.0确定性MASTER Prompt；方向视图Prompt在MASTER确认后重写,AI-01,剧本明确;项目锁定;用户2026-07-19重设与确定性Prompt指令,确定性Prompt已编写待主创确认,保留SCN-001及既有视图ID；docs/24旧Prompt停用；以docs/29 V2.0为当前候选
QNXY-SCN-P2-002-殿宇帷幔侧影视域,SCN,殿宇帷幔侧影视域,P2,V4标黄P011,AI-01,只供王后抱子侧影短暂掠过的帷幔、暗色石阶与殿影,保持遮挡和不可辨正脸；不扩展宫殿空间,单一水光侧影状态,帷幔、石阶暗影,冷暖水光勾边,轻量组合背景；无需完整宫殿母图,仅AI-01,剧本明确;创作者建议,建议采用,用户已确认SV0；与CHR-003组合生产
QNXY-SCN-P1-003-大足石刻式九龙水法岩壁,SCN,大足石刻式九龙水法岩壁,P1,V4标黄P011,AI-01,风化岩壁正好9个石龙首、9条重力细流、3层水槽、1座集水池、云水纹、湿痕和苔藓,REF-027至030严格锁定石刻形制；REF-031锁定影调；docs/29 V2.0锁定58mm机位与上2中4下3龙首布局,湿润基础状态,风化砂岩、青灰矿物层、墨青湿痕、12%苔藓覆盖、9条银青细流,暗部62%|暖灰石材高光14%|银青水反光6%|蓝黑森林18%,使用docs/29 V2.0确定性MASTER Prompt；水路细节视图Prompt在MASTER确认后重写,AI-01,剧本明确;项目锁定;用户2026-07-19重设与确定性Prompt指令,确定性Prompt已编写待主创确认,保留SCN-003及既有视图ID；docs/24旧Prompt停用；与SYM-001绑定；以docs/29 V2.0为当前候选
