影调编号,适用范围,关联资产,明度,对比,饱和度,色温,黑位,高光,肤色策略,材质策略,空气感,背景清洁度,实景光源,人物融合要求,禁用影调,信息来源,确认状态
QNXY-TONE-000,项目总基准,全部视觉资产,中等,中等,低至中低,以场景真实光源为准,黑位保留木石发丝和衣褶层次,高光只来自天空湖面湿石甲片泪痕和玉石真实反射,中性偏暖且允许暗侧湖面冷反射,低反光天然织物湿青石旧木风化石古玉,湿润但不灰雾HDR,实景使用痕迹可见且无现代污染,自然天光与已登记场景光源,人物道具地面背景共享同一光源和色温,青橙套色|高饱和文旅滤镜|人物自动补光|无来源轮廓光,项目锁定;风格推导,待主创确认
QNXY-TONE-001,神话山湖晨光,QNXY-SCN-P0-001-巴岳山麓龙水湖神话山湖|QNXY-LGT-P0-001-神话山湖晨光|QNXY-VFX-P0-001-神话山湖水汽云雾汇聚|QNXY-CRE-P0-001-九龙神龙群,中等偏高,中等,低至中低,约5000-5600K中性晨光并保留局部冷蓝与暖金水光,山阴和云层有灰阶不死黑,云隙和湖面反光受控;双珠微光不越级,人物肤色不被珠光染色,山岩水体云雾和鳞片真实;微光低亮,层叠水汽且远山仍有结构,自然山湖不做商业景区净化,云层切光与湖面反光,人物或九龙局部只受环境光;不单独补轮廓,仙侠爆光|荧光粒子|彩色云海|游戏怪物光,阶段1LGT-001;项目锁定;风格推导,待主创确认
QNXY-TONE-002,神话山湖乱世压暗,QNXY-SCN-P0-001-巴岳山麓龙水湖神话山湖|QNXY-SCN-P1-004-南宋山城防线远景|QNXY-LGT-P1-002-神话山湖乱世压暗光影,中低,中高,低,约4500K冷灰环境并带暗赭烽烟,暗部保留军旗山脊和人物轮廓,只保留云隙低亮和远烽烟反射,青年与女子轮廓可辨且肤色不脏红,湿石铁褐布旗和尘土压低反光,江雾与烽烟分层不糊成一片,战时使用痕迹可见,云层吞光和远烽烟,人物融入雾色但脸部结构不丢,爆炸橙光|纯黑剪影|血腥红洗,阶段1LGT-002;风格推导,待主创确认
QNXY-TONE-003,殿宇帷幔侧影,QNXY-SCN-P2-002-殿宇帷幔侧影视域|QNXY-LGT-P2-003-殿宇冷暖水光,低,中高,低,冷蓝与暖金局部水光;环境约4300K,暗部允许大面积存在但帷幔石阶可辨,水光只勾袖缘襁褓和帷幔褶皱,王后正脸不得被照出,哑光布与暗石不做金碧宫殿,轻薄水光和帷幔阴影,单一遮挡式视域,低亮水光反射,侧影融入暗部且不露面,宫廷金黄主光|正脸补光|婴儿细节曝光,阶段1LGT-003;项目锁定,待主创确认
QNXY-TONE-004,九龙水法岩壁,QNXY-SCN-P1-003-大足石刻式九龙水法岩壁|QNXY-LGT-P1-004-九龙水法冷暖水纹光|QNXY-SYM-P1-001-九龙水法石刻纹理,中低,中等,低,约4700K冷阴影加局部暖擦光,石缝青苔水痕有层次,细流水珠和湿石高光受控,不适用,风化石青苔细流和水路真实,湿润贴岩空气无仙雾粒子,保留自然侵蚀和水害痕迹,真实水路折光与侧擦光,不适用,法宝光|景区射灯|完整文物复制,阶段1LGT-004;大足官方资料;风格推导,待主创确认
QNXY-TONE-005,山城江雾烽烟远景,QNXY-SCN-P1-004-南宋山城防线远景|QNXY-LGT-P1-005-山城江雾烽烟光影,中低,中高,低,约4500K冷灰雾光加暗赭烟,城垣城门和山脊暗部可辨,烽烟只保留低亮边缘不作爆炸光,仅远处不可辨人影,石墙布旗林木和雾气低反光,江雾与烽烟分层,历史遗址感而非新建城堡,阴天雾光与远烽烟,远影融入尺度层,史诗爆炸|奇幻长城|战争游戏橙蓝,阶段1LGT-005;合川官方遗址资料;风格推导,待主创确认
QNXY-TONE-006,龙水湖清晨青石岸,QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸|QNXY-LGT-P0-006-龙水湖清晨薄雾金光,中高,中低,低至中低,约5200-5600K中性晨光;湖面反光略暖,岸草和树阴保留冷灰层次,湖面碎金和湿青石微高光不过曝,肤色中性偏暖;暗侧由湖面柔托,湖水湿青石岸草旧木和天然织物细节清楚,薄雾通透且远山层次可辨,自然湖岸有使用痕迹无现代码头,侧向晨光加湖面反光,人物脸不顺光;衣摆与发丝受同一湖风,糖水顺光|高饱和蓝绿|旅游宣传滤镜|过曝薄雾,阶段1LGT-006;项目锁定;风格推导,待主创确认
QNXY-TONE-007,战乱街巷阴天尘光,QNXY-SCN-P1-006-南宋战乱街巷|QNXY-LGT-P1-007-战乱街巷阴天尘光,中低,中等偏高,低,约4600-5000K冷灰漫射,巷口墙根和人群衣褶可辨,纸面和尘埃散射不剪切,肤色偏中性灰但不青白不血红,粗墙土石路木构古纸和旧布真实,尘土贴近脚步不悬浮成烟雾,脏乱有因果且无现代垃圾,阴天漫射加街巷开口光,群演和主角共享尘光;文书仍可读结构,血腥红|爆炸光|末日黄滤镜|现代战区,阶段1LGT-007;风格推导,待主创确认
QNXY-TONE-008,临水廊亭冷润傍晚,QNXY-SCN-P0-007-南宋临水古廊亭|QNXY-LGT-P0-008-临水廊亭傍晚侧逆光,中低,中等,低,约4700-5200K雨后或阴云傍晚冷润侧逆天光加银灰湖面反射,柱影与檐下保留木纹栏杆和活动区层次;暗部不死黑,远方薄雾和偏侧湖面为唯一安静亮域;无灯笼暖光,肤色后续由冷润天光与湖面反射自然融合且不自动补光,湿旧木香灰石基灰瓦天然织物与古纸低反光,湖面亮区与远山脚部两至三层湿雾;廊下不铺灰雾,真实使用旧化不舞台化,阴云傍晚冷润侧逆天光|廊柱遮挡|银灰湖面反射,人物后续允许半脸入柱影但眼神口型可辨;不得另加暖色轮廓,顺光平脸|影楼暖黄|灯笼主光|强轮廓光|蓝橙对打|统一灰滤镜,阶段1LGT-008;主创2026-07-17光影构图覆盖,待主创确认
QNXY-TONE-009,三孔桥黄昏离别,QNXY-SCN-P0-008-南宋西子湾三孔石桥渡口与追船岸|QNXY-LGT-P0-009-西子湾黄昏金红余光,中低,中等偏高,低至中低,约4000-4500K金红余光加湖面冷灰反射,桥孔岸线甲片与湿裙暗部有层次,湖面金红甲片泪痕湿布和珠面只出现真实反射,肤色暖侧不过橙;泪痕不美容高光,旧灰石湿碎石木船粗麻甲片古玉和湿布真实,黄昏水雾开阔;远山不糊,风化桥石和岸线有水痕,侧逆晚光加湖面反射,人物与渡船共享光向;冷暖珠不能成为补光灯,珠光爆亮|浪漫金滤镜|强剪影|现代婚纱色调,阶段1LGT-009;项目锁定,待主创确认
