"镜头编号","生成单元","对应剧本内容","时长秒","场景或视图","画面设计","人物站位表演与原台词","调用资产","同期声","结尾状态或剪辑衔接"
"AI03-SH01","镜头组G01","山城防线、江雾、山势与城墙建立；承载战乱画外音前段","4.0","QNXY-SCN-P1-004-V-MASTER；巴蜀山城防线远景","防线大远景；50mm；隔谷略高机位；极慢推近。峡谷、层山、山脊石墙、关楼、军旗与远处烽烟保持参考图关系","城墙上有4个极小比例奔走人影，军旗受山风持续摆动；无近景人物与画内台词","QNXY-SCN-P1-004；QNXY-LGT-P1-005；QNXY-CRO-P2-004；QNXY-SYM-P2-003；QNXY-VFX-P1-004；QNXY-REF-067","峡谷风、旗布猎响、极远层脚步和不可辨告急呼喊","烽烟被横风带向山谷，硬切城墙远摄"
"AI03-SH02","镜头组G01","防线承压、急促奔走与烽烟；承载战乱画外音","6.0","QNXY-SCN-P1-004-V-MASTER局部远摄","防线远摄；100mm；固定机位。石墙和关楼压缩在山势之间，军旗与奔走人影形成方向差","延续SH01同一组4个远处人影：3人沿城墙内侧通道向关楼急行传讯，1人从关楼后方横向穿过；无近身厮杀与画内台词","QNXY-SCN-P1-004；QNXY-CRO-P2-004；QNXY-LGT-P1-005；QNXY-VFX-P1-004；QNXY-REF-067","山风、旗布猎响、远处脚步和不可辨呼喊底噪","横向人影穿过关楼后消失，以脚步声硬切街巷"
"AI03-SH03","镜头组G02","战乱街巷、急迫逃难、连续发文书与义士号召","4.0","QNXY-SCN-P1-006-V-MASTER／V-STREET-DEPTH","街巷与逃难群众场景大全景；35mm；从坡上向街巷纵深缓慢横移","逃难群众快步、短促小跑或被搀扶加速。左侧发文书义士把一张文书递给第一名青壮，青壮接过后离开，下一名青壮靠近。右前景呼喊义士背对摄影机、双臂自然下垂，从第0.5秒开始完整招募原句","QNXY-SCN-P1-006；QNXY-CRO-P1-001；QNXY-CRO-P1-002；QNXY-PRP-P2-010；QNXY-LGT-P1-007；QNXY-REF-065","同一义士开始完整原句：蒙古军队已经到了钓鱼城，现在前线紧急招募有志之士，一起守护我们的家园；急促脚步、粗布、木箱与孩童低泣","第一名青壮已经离开递交位置，发文书义士转向下一人；招募声连续进入SH04"
"AI03-SH04","镜头组G02","义士贴告示，背对镜头的呼喊义士继续招募","3.0","QNXY-SCN-P1-006-V-NOTICE-WALL","布告墙与贴告示义士中景；55mm；墙面斜侧短距离推近","贴告示义士依次按平纸张上缘和两侧毛边，墨书保持不可辨识。画面右后方呼喊义士背对摄影机，双臂自然下垂；逃难群众从纵深快速经过","QNXY-SCN-P1-006；QNXY-CRO-P1-002；QNXY-PRP-P0-005；QNXY-LGT-P1-007；QNXY-REF-064/065","延续SH03同一招募声；手掌按纸、纸张摩擦、急促街巷底噪","告示平贴墙面，招募声连续进入SH05"
"AI03-SH05","镜头组G02","青壮停步集结，呼喊义士完成落句，逃难人流保持急迫","3.0","QNXY-SCN-P1-006-V-STREET-DEPTH","停步青壮与呼喊义士群像中景；70mm；街巷中心短距离推近","呼喊义士背对摄影机，双臂自然下垂，只在落句前做一次短促右手示意后放回身侧。三名青壮先后停步转向；后景逃难者每人只沿同一方向通过一次并离开构图","QNXY-SCN-P1-006；QNXY-CRO-P1-001；QNXY-CRO-P1-002；QNXY-REF-065","同一招募声完整落句；密集急促脚步、人群衣料、木箱轻碰与远层不可辨呼喊","一名青壮回头看向左侧文书递交区，后景人流仍快速通过"
"AI03-SH06","连续单镜头CU03","苏珏从发文书义士手中接过征募文书","5.0","QNXY-SCN-P1-006-V-STREET-DEPTH中左递交位","双人中景；65mm；平视固定机位。前景总人数为2人：左侧发文书义士，右侧苏珏；苏珏占据参考图原接收者位置，后景人流保持连续","四状态参考图对应同一文书；画面呈现一张平整实体文书。义士双手从粗褐袖口伸出并斜角递出；苏珏双手从蓝灰袖口伸出，右手接下缘、左手托另一侧；摄影机看纸边、纸背和手指接触，完成一次交接","QNXY-CHR-P0-001；QNXY-CST-P0-003；QNXY-PRP-P0-005；QNXY-CRO-P1-002；QNXY-SCN-P1-006；QNXY-REF-064/065/068","纸张轻响、近处脚步、衣袖摩擦、远层人群声","义士松手，文书完全转移到苏珏双手"
"AI03-SH07","连续单镜头CU04","苏珏在街巷画面右侧阅读文书并形成从军决意","5.0","QNXY-SCN-P1-006-V-STREET-DEPTH画面右侧","苏珏三分之四侧面中近景；85mm；从街巷画面右侧缓慢推近。一侧为旧木墙，另一侧为逃难人流纵深","苏珏先低眼阅读，再缓慢抬眼，喉结轻滚，眉眼收紧。三名轻度虚焦的逃难者依次从通道快步经过，每人只通过一次并离开画面；不设置后景重复招募动作","QNXY-CHR-P0-001；QNXY-CST-P0-003；QNXY-PRP-P0-005；QNXY-SCN-P1-006；QNXY-CRO-P1-001；QNXY-LGT-P1-007；QNXY-REF-064/065/068","纸张轻响、苏珏呼吸、三组由近及远的急促脚步、粗布衣料与不可辨人群底噪","苏珏右手收住文书并看向街巷前方，三名逃难者均已离开当前画面"
"AI03-SH08","镜头组G05","由战乱街巷转入临水廊亭；承载决意画外音尾段","3.0","QNXY-SCN-P0-007-V-MASTER湖面氛围","廊亭湖面环境大远景；50mm；固定机位极慢推近。前景树叶轻摆；近湖低薄水雾、中远湖面和山腰云雾形成三层，1条远舟与5只白鹭保持参考图关系","无近景人物与画内台词；以云雾、水雾、树叶和湖面动态完成由街巷到廊亭的情绪转场","QNXY-SCN-P0-007；QNXY-LGT-P0-008；QNXY-PRP-P2-009；QNXY-REF-066","远水、湖风、树叶、极远舟声与白鹭声","最靠近画面左下方的白鹭掠向画外，硬切廊亭背向接近视图"
"AI03-SH09","镜头组G05","苏珏接近廊亭，林如蔚已在右侧栏杆旁等待","4.0","QNXY-SCN-P0-007-V-BACK","廊亭背向全景；40mm；湖侧看向林间石路。林如蔚以中景小比例位于廊亭内画面右侧栏杆旁；苏珏从背景石路接近；低薄水雾、树叶与四盏灯笼保持连续动态","林如蔚背向石路安静等待、右手轻搭栏杆；苏珏右手握轻微折痕文书快步接近，在栏杆与入口结构前减速；文书墨书面朝向右腿","QNXY-CHR-P0-001/002；QNXY-CST-P0-003/004；QNXY-PRP-P0-005；QNXY-PRP-P2-009；QNXY-SCN-P0-007；QNXY-REF-064/068/069/072","由远及近的脚步、衣摆、纸张、湖风、树叶和四盏灯笼轻响","苏珏停在侧向入口连接区；林如蔚仍在右侧栏杆旁，下一镜接她回头"
"AI03-SH10","镜头组G05","林如蔚听见脚步、回头看见苏珏并温暖微笑","3.0","QNXY-SCN-P0-007-V-FRONT","林如蔚中景；70mm；入口方向看向湖面。她延续SH09位置站在画面右侧栏杆旁；近湖薄雾横移，树叶连续轻摆，四盏灯笼错开轻晃","林如蔚右手轻搭栏杆，听见脚步停近后回头看向左侧入口；认出苏珏后眼神亮起、眉眼舒展，唇边出现温暖熟悉的轻微笑意","QNXY-CHR-P0-002；QNXY-CST-P0-004；QNXY-SCN-P0-007；QNXY-PRP-P2-009；QNXY-REF-069/070","湖风、远水、脚步停近、树叶与四盏灯笼轻响","林如蔚保持笑意看向苏珏，切到双人距离"
