规则ID,规则类别,适用范围,执行规则,信息来源,确认状态
QNXY-STYLE-001,总风格,全部视觉资产,真实摄影外观的南宋巴蜀湖山文旅微电影；神话只从湿润山水石刻水法珠玉微光和真实环境运动中显现,项目锁定;风格推导,待主创确认
QNXY-STYLE-002,真人感,QNXY-CHR-P0-001-苏珏|QNXY-CHR-P0-002-林如蔚,演员参考图为唯一外貌依据；保留毛孔细纹轻微不对称和真实发丝；禁止陌生脸网红脸蜡像皮动漫化与过度美颜,项目锁定,已锁定
QNXY-STYLE-003,尺度,两位主角及双人关系资产,苏珏185厘米林如蔚170厘米；接触站位和载具尺度按15厘米身高差校准,主创确认;阶段1明确,已锁定
QNXY-STYLE-004,色彩,全部视觉资产,低至中低饱和；湖雾蓝灰风化石灰苎麻米灰旧木褐为主；冷暖珠与红绸只作小面积强调,项目锁定;风格推导,待主创确认
QNXY-STYLE-005,光影,全部场景与组合资产,继承已登记LGT真实光源；人物道具地面背景共享光向和色温；禁止自动补光HDR平脸和无来源轮廓光,项目锁定;阶段1明确,已锁定
QNXY-STYLE-006,人物资产光,人物剧照基础资产服装状态,约5000K中性低反差结构光；45度侧前柔光与弱填充；无环形灯无硬轮廓无戏剧背景,阶段2规则;风格推导,待主创确认
QNXY-STYLE-007,服饰参考继承,全部CST,登记为服饰参考的图片默认整体继承服装发型及穿戴或携带配饰；除非主创明确排除具体元素；唯一禁止继承项为参考人物脸部五官骨相与身份信息；演员脸只取对应身份参考,2026-07-15主创明确修正,已锁定
QNXY-STYLE-008,苏珏轻甲,QNXY-CST-P0-005-苏珏从军披甲装,深蓝灰窄袖长内袍加灰褐简洁短护片或札片护腕；内层战裙遮住脚背鞋面；非将帅非战神；无兵器无挎包,阶段1合理推断;2026-07-16主创覆盖确认,已锁定
QNXY-STYLE-009,湿衣,QNXY-CST-P1-006-林如蔚石桥离别与湿裙追船状态,水线从裙角和鞋面接触区逐步增加；颜色加深布料下坠；不透明色情化不预先全湿,剧本明确;项目锁定,已锁定
QNXY-STYLE-010,暮年,QNXY-CST-P0-011-林如蔚暮年自然老化与素净衣装,由同一演员年轻基础脸自然老化；白发木簪素净衣色；骨相不换；冷珠仍颈戴,项目锁定;2026-07-15主创最新修正,已锁定
