生产包ID,生产包名称,覆盖范围,阶段2B状态,启动波次,当前输入,下一交付,风险承接
QNXY-PKG-01,主角身份与基础声音,AI-01至AI-05,已关闭（2026-07-25）；阶段2C回流检查停止；阶段3已启动,第一波,苏珏TST-001 V1.0|林如蔚TST-002 V1.1|REF-001至003|REF-011|REF-014|风格圣经|docs/23,进入阶段3正式分镜、正式镜头表与Seedance2.0镜头Prompt生产；按稳定ID和主创可用资产调用,锁脸肤质全身比例和基础音色测试已豁免并转入2C|2026-07-25主创豁免阶段2C门禁；未验证风险不等于通过，转入阶段3逐镜调用约束
QNXY-PKG-02,冷暖双珠核心道具VFX与声音链,AI-01|AI-04|AI-05,已关闭（2026-07-25）；阶段2C回流检查停止；阶段3已启动,第一波,REF-013|REF-015|docs/18|STYLE-015至017|docs/23,进入阶段3正式分镜、正式镜头表与Seedance2.0镜头Prompt生产；按稳定ID和主创可用资产调用,珠径绳结佩戴遮挡和低亮VFX测试已豁免并转入2C|2026-07-25主创豁免阶段2C门禁；未验证风险不等于通过，转入阶段3逐镜调用约束
QNXY-PKG-03,苏珏服装与出征状态链,AI-01至AI-04,已关闭（2026-07-25）；阶段2C回流检查停止；阶段3已启动,第二波,PKG-01|PKG-02|REF-007至010|docs/20 V1.7|docs/23,进入阶段3正式分镜、正式镜头表与Seedance2.0镜头Prompt生产；按稳定ID和主创可用资产调用,同脸九头身暖珠遮挡和服装多视图测试已豁免并转入2C|2026-07-25主创豁免阶段2C门禁；未验证风险不等于通过，转入阶段3逐镜调用约束
QNXY-PKG-04,林如蔚服装追船状态与暮年链,AI-01至AI-05,已关闭（2026-07-25）；阶段2C回流检查停止；阶段3已启动,第二波,PKG-01|REF-004至006|docs/19|docs/23,进入阶段3正式分镜、正式镜头表与Seedance2.0镜头Prompt生产；按稳定ID和主创可用资产调用,同脸年龄湿衣四季服装和颈戴冷珠测试已豁免并转入2C|2026-07-25主创豁免阶段2C门禁；未验证风险不等于通过，转入阶段3逐镜调用约束
QNXY-PKG-05,原词声音性能单元,AI-01至AI-05,已关闭（2026-07-25）；阶段2C回流检查停止；阶段3已启动,第二波,PKG-01|V4标黄原词|REL-P0-018,进入阶段3正式分镜、正式镜头表与Seedance2.0镜头Prompt生产；按稳定ID和主创可用资产调用,基础音色测试已豁免；逐字台词口型与画外音分离转入2C和阶段3|2026-07-25主创豁免阶段2C门禁；未验证风险不等于通过，转入阶段3逐镜调用约束
QNXY-PKG-06,AI-01神话起源资产包,AI-01,已关闭（2026-07-25）；阶段2C回流检查停止；阶段3已启动,用户授权场景重新设定与确定性Prompt,SCN-001至004稳定资产ID|REF-016至018|REF-025至033|REF-040至046|docs/26至27|docs/29 V2.0|docs/30,进入阶段3正式分镜、正式镜头表与Seedance2.0镜头Prompt生产；按稳定ID和主创可用资产调用,SCN-004无人母图继续保持0人物0战斗；战斗状态不新增资产ID；蒙古军固定远程压制、木幔推进、墙脚持盾架梯三层；墙脚弓箭手为0|2026-07-25主创豁免阶段2C门禁；未验证风险不等于通过，转入阶段3逐镜调用约束
QNXY-PKG-07,AI-02小院归家资产包,AI-02,阶段2B已关闭（2026-07-25）；阶段3实际资产与动作策略持续登记（2026-07-27）,用户指定AI-02最新内容、人物声音场景资产、小舟船工、跳切方式、船头站位、湖中挥手时间关系、全Prompt动作控制、小院多视角和独立蓝色包袱,SCN-005稳定资产与既有视图ID|REF-047至063|data/12|docs/32|docs/33|docs/34,REF-059至062已增加药草桌、栅栏门口望湖、门口回望院内和药草整理中景；REF-063已补独立蓝色包袱；全部复用既有SCN-005视图ID与PRP-P2-008，不新增稳定ID；下一步直接拆分正式分镜动作单元并写逐镜Prompt,最新动作链为湖面白鹭意境跳切→REF-059/062院内整理药草→远湖桨声水声→女主停手起身→沿多视角关系去REF-060院门→看见仍在湖中的归舟并挥手→站在REF-058船头的苏珏回应→小舟接近→REF-056停靠下船→院门相会→递REF-063蓝色包袱→衣袖擦汗；动作风险由逐镜Prompt与生成复核承接；稳定ID不变
QNXY-PKG-08,AI-03战乱街巷与廊亭告别资产包,AI-03,已关闭（2026-07-25）；阶段2C回流检查停止；阶段3已启动,用户授权场景重新设定与确定性Prompt,SCN-007稳定资产与视图ID|REF-026|docs/27|docs/29 V2.0,进入阶段3正式分镜、正式镜头表与Seedance2.0镜头Prompt生产；按稳定ID和主创可用资产调用,固定3根立柱5只白鹭1艘远舟1盏灯笼；现代城市天际线与塔楼为0|2026-07-25主创豁免阶段2C门禁；未验证风险不等于通过，转入阶段3逐镜调用约束
QNXY-PKG-09,AI-04三孔桥互赠登船与追船资产包,AI-04,已关闭（2026-07-25）；阶段2C回流检查停止；阶段3已启动,用户授权场景重新设定与确定性Prompt,SCN-008稳定资产及视图ID|REF-037至038|REL-P0-011至013|docs/27|docs/29 V2.0,进入阶段3正式分镜、正式镜头表与Seedance2.0镜头Prompt生产；按稳定ID和主创可用资产调用,固定1座36米三孔石桥横跨河面连接两岸；固定1艘渡船1根6米粗麻缆绳|2026-07-25主创豁免阶段2C门禁；未验证风险不等于通过，转入阶段3逐镜调用约束
QNXY-PKG-10,AI-05祈福树四季与暮年资产包,AI-05,已关闭（2026-07-25）；阶段2C回流检查停止；阶段3已启动,用户授权场景重新设定与确定性Prompt,SCN-009稳定资产与SV0视图ID|REF-039|REF-024|docs/28|docs/29 V2.0,进入阶段3正式分镜、正式镜头表与Seedance2.0镜头Prompt生产；按稳定ID和主创可用资产调用,固定65mm机位；树38%湖42%山20%；人物正好1名；红绸依次48条51条55条57条72条；船鸟每状态单独锁定|2026-07-25主创豁免阶段2C门禁；未验证风险不等于通过，转入阶段3逐镜调用约束
