关系记录编号,关系类型,关联资产,剧本出处,关系说明,状态变化,前后连续性要求,是否影响阶段2资产生成,是否影响阶段3镜头调用,信息来源,确认状态
QNXY-REL-P0-001-苏珏跨服装同脸连续性,角色-服装,QNXY-CHR-P0-001-苏珏|QNXY-CST-P0-001-苏珏湖岸常服A|QNXY-CST-P0-003-苏珏外出常服B|QNXY-CST-P0-005-苏珏从军披甲装,V4标黄P013、P032-P036、P054-P061、P080-P088,QNXY-REF-011与014同一真人演员贯穿全部苏珏古代状态；生产身高185厘米,湖岸书生→决定从军→披甲离别,脸型五官发际线骨相和185厘米尺度不变,是,是,项目锁定;用户演员参考;主创身高锁定;合理推断,已锁定
QNXY-REL-P0-002-林如蔚跨服装年龄同脸连续性,角色-服装|年龄,QNXY-CHR-P0-002-林如蔚|QNXY-CST-P0-002-林如蔚湖岸常服A|QNXY-CST-P0-004-林如蔚廊亭告别常服B|QNXY-CST-P1-006-林如蔚石桥离别与湿裙追船状态|QNXY-CST-P1-007-林如蔚春季等待状态|QNXY-CST-P1-008-林如蔚夏季等待状态|QNXY-CST-P1-009-林如蔚秋季等待状态|QNXY-CST-P1-010-林如蔚冬季等待状态|QNXY-CST-P0-011-林如蔚暮年自然老化与素净衣装,V4标黄P013、P033-P036、P056-P061、P080-P088、P097-P104,QNXY-REF-001至003同一真人演员贯穿全部年轻服装和暮年自然老化；生产身高170厘米,年轻湖岸→告别追船→四季→暮年,服装发饰姿态和年龄可变；骨相五官比例及年轻阶段170厘米尺度不变,是,是,项目锁定;用户演员参考;主创身高锁定,已锁定
QNXY-REL-P0-003-AI01青年女子身份映射,角色身份,QNXY-CHR-P0-001-苏珏|QNXY-CHR-P0-002-林如蔚,V4标黄P013,V4未点名的南宋青年和年轻女子确认为苏珏与林如蔚命运预告,青年扣甲与女子攥袖远望,不新增其他青年与女子角色资产,是,是,合理推断;历史参考候选,已锁定
QNXY-REL-P0-004-双珠凝结离散关系,道具-VFX-声音,QNXY-PRP-P0-001-冷珠|QNXY-PRP-P0-002-暖珠|QNXY-VFX-P0-002-冷暖双珠凝结与克制珠光|QNXY-SND-P0-002-冷暖双珠玉石共鸣,V4标黄P010-P015,冷暖双珠由九龙灵气共同凝结并在乱世中离散,水汽凝结→相生悬浮→分向两侧,形制同源；色温、声纹和后续归属可区分,是,是,剧本明确;项目锁定,已锁定
QNXY-REL-P0-005-双珠互赠归属连续性,角色-道具,QNXY-CHR-P0-001-苏珏|QNXY-CHR-P0-002-林如蔚|QNXY-PRP-P0-001-冷珠|QNXY-PRP-P0-002-暖珠,V4标黄P081-P088,二人郑重交换双珠；交换前苏珏腕戴冷珠、林如蔚腕戴暖珠；交换后林如蔚腕戴冷珠、苏珏甲胄系挂暖珠,交换前分别腕戴→取下交换→冷珠戴至林如蔚手腕且暖珠固定苏珏甲胄,归属、佩戴位置和交换顺序不得漂移；参考图只提供外观与绳结候选,是,是,剧本明确;项目锁定;用户道具参考;主创修正;合理推断,已锁定
QNXY-REL-P0-006-暖珠甲胄固定连续性,角色-道具-服装,QNXY-CHR-P0-001-苏珏|QNXY-CST-P0-005-苏珏从军披甲装|QNXY-PRP-P0-002-暖珠|QNXY-VEH-P0-002-南宋渡船,V4标黄P081、P084-P088,暖珠由林如蔚亲手系在苏珏甲胄上并随船远去；QNXY-REF-013棕绳活动结只作受力参考,手中暖珠→腕绳解开或转接→结扣收紧→甲胄固定→船头微光,交换后腕戴闭环必须转为甲胄系挂；位置绳结和珠面朝向不漂移,是,是,剧本明确;项目锁定;用户道具参考,已锁定
QNXY-REL-P0-007-冷珠手链腕戴终身连续性,角色-道具,QNXY-CHR-P0-002-林如蔚|QNXY-PRP-P0-001-冷珠|QNXY-CST-P1-006-林如蔚石桥离别与湿裙追船状态|QNXY-CST-P1-007-林如蔚春季等待状态|QNXY-CST-P1-008-林如蔚夏季等待状态|QNXY-CST-P1-009-林如蔚秋季等待状态|QNXY-CST-P1-010-林如蔚冬季等待状态|QNXY-CST-P0-011-林如蔚暮年自然老化与素净衣装,V4标黄P081-P088、P097-P104,冷珠是手链；林如蔚获得后戴在手腕并贯穿追船、四季和暮年；QNXY-REF-015只参考珠体绳结外观,交换前苏珏腕戴→取下交换→林如蔚腕戴→追船腕戴→四季腕戴→暮年仍腕戴,同一冷珠尺寸纹理、腕侧和闭合方向不变；颈戴与掌心长期握持口径废止；旧ID映射见data/05_阶段1_资产ID修正映射.csv,是,是,项目锁定;用户道具参考;主创修正,已锁定
QNXY-REL-P1-008-小舟靠岸书卷交接关系,场景-载具-道具-角色,QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸|QNXY-VEH-P0-001-南宋湖面小舟|QNXY-PRP-P1-003-书卷与纸墨包|QNXY-CHR-P0-001-苏珏|QNXY-CHR-P0-002-林如蔚,V4标黄P032-P036,小舟靠岸后书卷交接和指尖短触；二人最后并肩离开,湖面来向→靠岸→等待/交接→并肩去小院,以已确认SV1视图体系在阶段2A补全并锁定船向、等待点、交接点和离开方向,是,是,剧本明确;合理推断;历史参考候选,已锁定
QNXY-REL-P1-009-征募文书决意连续性,道具状态|场景-道具,QNXY-PRP-P0-005-征募文书|QNXY-SCN-P1-006-南宋战乱街巷|QNXY-SCN-P0-007-南宋临水古廊亭|QNXY-CRO-P1-002-乡间义士与青壮集结群像|QNXY-CHR-P0-001-苏珏,V4标黄P052-P061,REF-064锁定同一文书四状态；苏珏在REF-065街巷中从发文书义士手中接过一张后带入廊亭；阅读近景不展示纸面内容,义士平整递出→苏珏接稳持读→轻微折痕→廊亭攥皱→仍持有,不另增第二个文书PRP；图中原接收者不得替代苏珏；文字不正对镜头,是,是,剧本明确;主创2026-07-28实际图指定,已锁定
QNXY-REL-P0-010-廊亭告别站位与对白连续性,场景-角色-声音-道具,QNXY-SCN-P0-007-南宋临水古廊亭|QNXY-CHR-P0-001-苏珏|QNXY-CHR-P0-002-林如蔚|QNXY-PRP-P0-005-征募文书|QNXY-VOI-P0-009-苏珏AI03廊亭对白|QNXY-VOI-P0-010-林如蔚AI03廊亭对白,V4标黄P056-P061及主创2026-07-28新增收束,林如蔚在栏边；苏珏从廊道停在三步外；她边回应边走近并抓住苏珏左袖；苏珏抱住她并贴耳承诺归来,分离站位→迟疑开口→靠近抓袖→拥抱承诺→单滴泪→环境拉远,剧本原台词逐字；苏珏新增“我一定回来”只说一次,是,是,主创2026-07-28覆写收束,已锁定
